Philadelphia 76ers,C,0,"Cauley-Stein, Willie",7 ft 0 in (2.13 m),240 lb (109 kg),1993-08-18,Kentucky
Philadelphia 76ers,F/C,21,"Embiid, Joel",7 ft 0 in (2.13 m),280 lb (127 kg),1994-03-16,Kansas
Philadelphia 76ers,G,14,"Green, Danny",6 ft 6 in (1.98 m),215 lb (98 kg),1987-06-22,North Carolina
Philadelphia 76ers,G,1,"Harden, James",6 ft 5 in (1.96 m),220 lb (100 kg),1989-08-26,Arizona State
Philadelphia 76ers,F,12,"Harris, Tobias",6 ft 8 in (2.03 m),226 lb (103 kg),1992-07-15,Tennessee
Philadelphia 76ers,G,7,"Joe, Isaiah",6 ft 4 in (1.93 m),165 lb (75 kg),1999-07-02,Arkansas
Philadelphia 76ers,G/F,30,"Korkmaz, Furkan",6 ft 7 in (2.01 m),202 lb (92 kg),1997-07-24,Turkey
Philadelphia 76ers,G,0,"Maxey, Tyrese",6 ft 2 in (1.88 m),200 lb (91 kg),2000-10-04,Kentucky
Philadelphia 76ers,G/F,18,"Milton, Shake",6 ft 5 in (1.96 m),205 lb (93 kg),1996-09-26,SMU
Philadelphia 76ers,F,8,"Millsap, Paul",6 ft 7 in (2.01 m),257 lb (117 kg),1985-02-10,Louisiana Tech
Philadelphia 76ers,F,20,"Niang, Georges",6 ft 7 in (2.01 m),230 lb (104 kg),1993-06-17,Iowa State
Philadelphia 76ers,G,5,"Powell, Myles (TW)",6 ft 2 in (1.88 m),195 lb (88 kg),1997-07-07,Seton Hall
Philadelphia 76ers,F,44,"Reed, Paul",6 ft 9 in (2.06 m),210 lb (95 kg),1999-06-26,DePaul
Philadelphia 76ers,G,11,"Springer, Jaden",6 ft 3 in (1.91 m),202 lb (92 kg),2002-09-25,Tennessee
Philadelphia 76ers,G/F,22,"Thybulle, Matisse",6 ft 5 in (1.96 m),200 lb (91 kg),1997-03-04,Washington
Toronto Raptors,F,5,"Achiuwa, Precious",6 ft 8 in (2.03 m),225 lb (102 kg),1999-09-19,Memphis
Toronto Raptors,F,3,"Anunoby, OG",6 ft 7 in (2.01 m),232 lb (105 kg),1997-07-17,Indiana
Toronto Raptors,F,45,"Banton, Dalano",6 ft 7 in (2.01 m),204 lb (93 kg),1999-11-07,Nebraska
Toronto Raptors,F,4,"Barnes, Scottie",6 ft 7 in (2.01 m),225 lb (102 kg),2001-08-01,Florida State
Toronto Raptors,C,24,"Birch, Khem",6 ft 9 in (2.06 m),233 lb (106 kg),1992-09-28,UNLV
Toronto Raptors,G,17,"Bonga, Isaac",6 ft 8 in (2.03 m),180 lb (82 kg),1999-11-08,Germany
Toronto Raptors,F/C,25,"Boucher, Chris",6 ft 9 in (2.06 m),200 lb (91 kg),1993-01-11,Oregon
Toronto Raptors,G/F,11,"Champagnie, Justin (TW)",6 ft 6 in (1.98 m),206 lb (93 kg),2001-06-29,Pittsburgh
Toronto Raptors,G,22,"Flynn, Malachi",6 ft 1 in (1.85 m),175 lb (79 kg),1998-05-10,San Diego State
Toronto Raptors,G,13,"Johnson, David (TW)",6 ft 4 in (1.93 m),203 lb (92 kg),2001-02-26,Louisville
Toronto Raptors,G/F,14,"Mykhailiuk, Sviatoslav",6 ft 7 in (2.01 m),205 lb (93 kg),1997-06-10,Kansas
Toronto Raptors,F,43,"Siakam, Pascal",6 ft 8 in (2.03 m),230 lb (104 kg),1994-04-02,New Mexico State
Toronto Raptors,G/F,33,"Trent Jr., Gary",6 ft 5 in (1.96 m),209 lb (95 kg),1999-01-18,Duke
Toronto Raptors,G,23,"VanVleet, Fred",6 ft 1 in (1.85 m),197 lb (89 kg),1994-02-25,Wichita State
Toronto Raptors,G/F,18,"Watanabe, Yuta",6 ft 9 in (2.06 m),215 lb (98 kg),1994-10-13,George Washington
Toronto Raptors,F,9,"Wilson, D.J.",6 ft 10 in (2.08 m),231 lb (105 kg),1996-02-19,Michigan
Toronto Raptors,F,21,"Young, Thaddeus",6 ft 8 in (2.03 m),235 lb (107 kg),1988-06-21,Georgia Tech
Chicago Bulls,G,2,"Ball, Lonzo ",6 ft 6 in (1.98 m),190 lb (86 kg),1997-10-27,UCLA
Chicago Bulls,F/C,13,"Bradley, Tony",6 ft 10 in (2.08 m),248 lb (112 kg),1998-08-01,North Carolina
Chicago Bulls,G/F,7,"Brown, Troy",6 ft 6 in (1.98 m),215 lb (98 kg),1999-07-28,Oregon
Chicago Bulls,G,6,"Caruso, Alex ",6 ft 5 in (1.96 m),186 lb (84 kg),1994-02-28,Texas A&M
Chicago Bulls,F,25,"Cook, Tyler (TW)",6 ft 8 in (2.03 m),255 lb (116 kg),1997-09-23,Iowa
Chicago Bulls,G/F,11,"DeRozan, DeMar",6 ft 6 in (1.98 m),220 lb (100 kg),1989-08-07,Southern California
Chicago Bulls,G,12,"Dosunmu, Ayo",6 ft 4 in (1.93 m),200 lb (91 kg),2000-01-17,Illinois
Chicago Bulls,G/F,24,"Green, Javonte",6 ft 5 in (1.96 m),205 lb (93 kg),1993-07-23,Radford
Chicago Bulls,F,14,"Hill, Malcolm (TW)",6 ft 6 in (1.98 m),220 lb (100 kg),1995-10-26,Illinois
Chicago Bulls,F,5,"Jones, Derrick",6 ft 6 in (1.98 m),210 lb (95 kg),1997-02-15,UNLV
Chicago Bulls,G/F,8,"LaVine, Zach",6 ft 5 in (1.96 m),200 lb (91 kg),1995-03-10,UCLA
Chicago Bulls,C,19,"Simonović, Marko",6 ft 11 in (2.11 m),220 lb (100 kg),1999-10-15,Montenegro
Chicago Bulls,G,21,"Thomas, Matt",6 ft 3 in (1.91 m),190 lb (86 kg),1994-08-04,Iowa State
Chicago Bulls,F/C,3,"Thompson, Tristan",6 ft 9 in (2.06 m),254 lb (115 kg),1991-03-13,Texas
Chicago Bulls,C,9,"Vučević, Nikola",6 ft 10 in (2.08 m),260 lb (118 kg),1990-10-24,Southern California
Chicago Bulls,G,0,"White, Coby",6 ft 4 in (1.93 m),195 lb (88 kg),2000-02-16,North Carolina
Chicago Bulls,F,44,"Williams, Patrick ",6 ft 7 in (2.01 m),215 lb (98 kg),2001-08-26,Florida State
Cleveland Cavaliers,C,31,"Allen, Jarrett",6 ft 10 in (2.08 m),243 lb (110 kg),1998-04-21,Texas
Cleveland Cavaliers,F/C,21,"Davis, Ed",6 ft 9 in (2.06 m),220 lb (100 kg),1989-06-05,North Carolina
Cleveland Cavaliers,G,12,"Frazier, Tim",6 ft 0 in (1.83 m),170 lb (77 kg),1990-11-01,Penn State
Cleveland Cavaliers,G,10,"Garland, Darius",6 ft 1 in (1.85 m),192 lb (87 kg),2000-01-26,Vanderbilt
Cleveland Cavaliers,G,26,"Goodwin, Brandon (TW)",6 ft 0 in (1.83 m),180 lb (82 kg),1995-10-02,Florida Gulf Coast
Cleveland Cavaliers,G,3,"LeVert, Caris",6 ft 6 in (1.98 m),205 lb (93 kg),1994-08-25,Michigan
Cleveland Cavaliers,F/C,0,"Love, Kevin",6 ft 8 in (2.03 m),251 lb (114 kg),1988-09-07,UCLA
Cleveland Cavaliers,F/C,24,"Markkanen, Lauri",6 ft 11 in (2.11 m),240 lb (109 kg),1997-05-22,Arizona
Cleveland Cavaliers,C,4,"Mobley, Evan",6 ft 11 in (2.11 m),215 lb (98 kg),2001-06-18,Southern California
Cleveland Cavaliers,G,5,"Nembhard, RJ (TW)",6 ft 4 in (1.93 m),200 lb (91 kg),1999-03-22,TCU
Cleveland Cavaliers,G/F,35,"Okoro, Isaac",6 ft 5 in (1.96 m),225 lb (102 kg),2001-01-26,Auburn
Cleveland Cavaliers,F,16,"Osman, Cedi",6 ft 7 in (2.01 m),230 lb (104 kg),1995-04-08,Turkey
Cleveland Cavaliers,G,1,"Rondo, Rajon",6 ft 1 in (1.85 m),180 lb (82 kg),1986-02-22,Kentucky
Cleveland Cavaliers,G,2,"Sexton, Collin ",6 ft 1 in (1.85 m),190 lb (86 kg),1999-01-04,Alabama
Cleveland Cavaliers,F,8,"Stevens, Lamar",6 ft 6 in (1.98 m),230 lb (104 kg),1997-07-09,Penn State
Cleveland Cavaliers,F,32,"Wade, Dean",6 ft 9 in (2.06 m),228 lb (103 kg),1996-11-20,Kansas State
Cleveland Cavaliers,G/F,9,"Windler, Dylan",6 ft 6 in (1.98 m),196 lb (89 kg),1996-09-22,Belmont
Detroit Pistons,F,35,"Bagley, Marvin",6 ft 11 in (2.11 m),235 lb (107 kg),1999-03-14,Duke
Detroit Pistons,F,41,"Bey, Saddiq",6 ft 7 in (2.01 m),215 lb (98 kg),1999-04-09,Villanova
Detroit Pistons,G,2,"Cunningham, Cade",6 ft 6 in (1.98 m),220 lb (100 kg),2001-09-25,Oklahoma State
Detroit Pistons,G,6,"Diallo, Hamidou",6 ft 5 in (1.96 m),202 lb (92 kg),1998-07-31,Kentucky
Detroit Pistons,C,55,"Garza, Luka",6 ft 10 in (2.08 m),243 lb (110 kg),1998-12-27,Iowa
Detroit Pistons,F,9,"Grant, Jerami",6 ft 8 in (2.03 m),210 lb (95 kg),1994-03-12,Syracuse
Detroit Pistons,G,7,"Hayes, Killian",6 ft 5 in (1.96 m),195 lb (88 kg),2001-07-27,France
Detroit Pistons,G,5,"Jackson, Frank ",6 ft 3 in (1.91 m),205 lb (93 kg),1998-05-04,Duke
Detroit Pistons,G,18,"Joseph, Cory",6 ft 3 in (1.91 m),200 lb (91 kg),1991-08-20,Texas
Detroit Pistons,G,38,"Lee, Saben",6 ft 2 in (1.88 m),183 lb (83 kg),1999-06-23,Vanderbilt
Detroit Pistons,F,12,"Livers, Isaiah ",6 ft 6 in (1.98 m),232 lb (105 kg),1998-07-28,Michigan
Detroit Pistons,G,17,"McGruder, Rodney",6 ft 4 in (1.93 m),205 lb (93 kg),1991-07-29,Kansas State
Detroit Pistons,F/C,13,"Olynyk, Kelly",6 ft 11 in (2.11 m),240 lb (109 kg),1991-04-19,Gonzaga
Detroit Pistons,F,24,"Pickett, Jamorko  (TW)",6 ft 9 in (2.06 m),206 lb (93 kg),1997-12-24,Georgetown
Detroit Pistons,F,0,"Smith, Chris (TW)",6 ft 9 in (2.06 m),215 lb (98 kg),1999-12-24,UCLA
Detroit Pistons,F/C,28,"Stewart, Isaiah",6 ft 8 in (2.03 m),250 lb (113 kg),2001-05-22,Washington
Indiana Pacers,F/C,88,"Bitadze, Goga",6 ft 11 in (2.11 m),250 lb (113 kg),1999-07-20,Georgia
Indiana Pacers,G/F,12,"Brissett, Oshae",6 ft 7 in (2.01 m),210 lb (95 kg),1998-06-20,Syracuse
Indiana Pacers,G,7,"Brogdon, Malcolm",6 ft 5 in (1.96 m),229 lb (104 kg),1992-12-11,Virginia
Indiana Pacers,G/F,3,"Duarte, Chris",6 ft 6 in (1.98 m),190 lb (86 kg),1997-06-13,Oregon
Indiana Pacers,G,0,"Haliburton, Tyrese",6 ft 5 in (1.96 m),185 lb (84 kg),2000-02-29,Iowa State
Indiana Pacers,G,24,"Hield, Buddy",6 ft 4 in (1.93 m),220 lb (100 kg),1992-12-17,Oklahoma
Indiana Pacers,F/C,23,"Jackson, Isaiah",6 ft 10 in (2.08 m),205 lb (93 kg),2002-01-10,Kentucky
Indiana Pacers,G,9,"McConnell, T. J. ",6 ft 1 in (1.85 m),190 lb (86 kg),1992-03-25,Arizona
Indiana Pacers,G,99,"Rubio, Ricky ",6 ft 3 in (1.91 m),190 lb (86 kg),1990-10-21,Spain
Indiana Pacers,F,25,"Smith, Jalen",6 ft 10 in (2.08 m),215 lb (98 kg),2000-03-16,Maryland
Indiana Pacers,G/F,6,"Stephenson, Lance",6 ft 5 in (1.96 m),210 lb (95 kg),1990-09-05,Cincinnati
Indiana Pacers,G,28,"Sykes, Keifer",5 ft 11 in (1.80 m),167 lb (76 kg),1993-12-30,Green Bay
Indiana Pacers,F,32,"Taylor, Terry (TW)",6 ft 5 in (1.96 m),230 lb (104 kg),1999-09-23,Austin Peay
Indiana Pacers,F/C,33,"Turner, Myles ",6 ft 11 in (2.11 m),250 lb (113 kg),1996-03-24,Texas
Indiana Pacers,F,1,"Warren, T. J. ",6 ft 8 in (2.03 m),220 lb (100 kg),1993-09-05,North Carolina State
Indiana Pacers,G,4,"Washington, Duane (TW)",6 ft 2 in (1.88 m),197 lb (89 kg),2000-03-24,Ohio State
Milwaukee Bucks,G,7,"Allen, Grayson",6 ft 4 in (1.93 m),198 lb (90 kg),1995-10-08,Duke
